1,2,3,4,5,6,7,8,9,10
07/25-18:05:40.547290, 44688, TCP, stream_tcp, 16372, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:40.547290, 44688, TCP, stream_tcp, 16372, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:40.567076, 44722, TCP, stream_tcp, 16388, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:40.730011, 44964, TCP, stream_tcp, 16424, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:40.825514, 45113, TCP, stream_tcp, 16334, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:41.490919, 45417, TCP, stream_tcp, 16338, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:41.581440, 45496, TCP, stream_tcp, 16382, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:41.588695, 45512, TCP, stream_tcp, 16341, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:41.613111, 45530, TCP, stream_tcp, 16402, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:41.621578, 45545, TCP, stream_tcp, 16343, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:41.814694, 45805, TCP, stream_tcp, 16411, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:41.904209, 45938, TCP, stream_tcp, 16330, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:42.126242, 46265, TCP, stream_tcp, 16428, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:42.190780, 46365, TCP, stream_tcp, 16433, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:42.190780, 46365, TCP, stream_tcp, 16433, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:42.210155, 46397, TCP, stream_tcp, 16342, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:42.373208, 46639, TCP, stream_tcp, 16408, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:43.214136, 47085, TCP, stream_tcp, 16397, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:43.274991, 47182, TCP, stream_tcp, 16382, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
